Pearson_cor	s17	s16	s20	s23	s18	s26	s19	s27	s21	s22	s24	s11	s2	s25	s3	s4	s5	s13	s7	s6	s8	s10	s14	s9	s12	s1	s15
s17	1	0.934506620623107	0.690911542277636	0.708807239339349	0.822760973555537	0.594393320458109	0.934277583355736	0.705479907642991	0.722807247958879	0.713743398499176	0.746778851126854	0.733099920649946	0.671397080040738	0.710319156300986	0.621384949250171	0.652521267759117	0.630997920599867	0.605207986032175	0.632511897751451	0.735618029997306	0.615472005105659	0.785653807774241	0.774975153443388	0.734613471270493	0.757641865522062	0.665975988122197	0.757245145412018
s16	0.934506620623107	1	0.789961693477741	0.801982275884249	0.885787279837353	0.695318563936641	0.992238390622916	0.804743715626047	0.80327352056292	0.823521430861271	0.831517739462137	0.814785760695599	0.731789508411483	0.803460844629838	0.721773728713071	0.728092647678425	0.698115216402543	0.688784369994281	0.512314449649618	0.790035894440909	0.714835920523389	0.768872109969254	0.841284051851033	0.8024763569393	0.792939052361032	0.73313001905665	0.841747093745837
s20	0.690911542277636	0.789961693477741	1	0.979965443612467	0.773632956345485	0.77442770949752	0.782263514943458	0.800252522721722	0.975850284151225	0.965043644230282	0.801008137299804	0.792494511894814	0.651807569939524	0.790332993642255	0.767122114701278	0.741058840886637	0.681691166787348	0.70633035899835	0.433674983718137	0.742096236192627	0.770338443121835	0.708514951327214	0.784664073283659	0.798051016921255	0.748976244348418	0.694346896395519	0.80387130185191
s23	0.708807239339349	0.801982275884249	0.979965443612467	1	0.79276819939557	0.790797943314869	0.792677025544788	0.807358497656068	0.972227643543586	0.965551421736529	0.811745374609472	0.808768564415331	0.664527924578829	0.799376742722107	0.788890460623308	0.755225982749544	0.695641414504884	0.722007857068078	0.48888154498509	0.769282489837566	0.792577612508414	0.750855581137191	0.798391279206339	0.816082327311737	0.766977383372334	0.703636101933511	0.825211639178281
s18	0.822760973555537	0.885787279837353	0.773632956345485	0.79276819939557	1	0.759749360854453	0.868699352274802	0.791360321596235	0.785810154880071	0.834438656805399	0.828768128037042	0.837497750830454	0.720705636669604	0.805457510420125	0.796558732537577	0.768742334251192	0.724658587261346	0.764209259417293	0.562010023644629	0.839584923777352	0.796929675678131	0.81380414304511	0.859807775422513	0.859932886766843	0.810386643599107	0.749098090723054	0.867437820426381
s26	0.594393320458109	0.695318563936641	0.77442770949752	0.790797943314869	0.759749360854453	1	0.685867531386726	0.86071283505954	0.779858883009077	0.824207176118638	0.87605291803403	0.895723466671623	0.714191915085513	0.891905714619582	0.933694164605445	0.867356533789786	0.789914431231076	0.903111335337659	0.461626740580738	0.749879364504331	0.911283158807836	0.720563051817672	0.811903526371633	0.817760487316284	0.860853801626536	0.792543949191025	0.879189200994571
s19	0.934277583355736	0.992238390622916	0.782263514943458	0.792677025544788	0.868699352274802	0.685867531386726	1	0.798026642252596	0.794011087611323	0.81239541996043	0.821464637912396	0.801754461336727	0.723007850422045	0.791020259696659	0.712630544472156	0.721148859963745	0.694616657022425	0.678105719108642	0.495133065098897	0.770700517096407	0.706801380591413	0.751490711518578	0.821590927931729	0.785650051481689	0.782250872728384	0.724613777793839	0.826868007216613
s27	0.705479907642991	0.804743715626047	0.800252522721722	0.807358497656068	0.791360321596235	0.86071283505954	0.798026642252596	1	0.814235751216058	0.843986779293171	0.964334451829796	0.899346491752799	0.822448308358562	0.967967461228077	0.878593783246512	0.861348057750432	0.859339919407296	0.8418519802324	0.426044054966626	0.788961710178415	0.862694329611131	0.734348083802226	0.801726965735826	0.836662798821593	0.852330995085665	0.870979686539316	0.886648450000358
s21	0.722807247958879	0.80327352056292	0.975850284151225	0.972227643543586	0.785810154880071	0.779858883009077	0.794011087611323	0.814235751216058	1	0.961626827066157	0.821215879865562	0.812235724260069	0.695118329991374	0.811060488119437	0.7741647054652	0.766795263924332	0.721648802804959	0.728566912779383	0.500166035302803	0.775153957345654	0.77902379015777	0.764430564520507	0.797140844481196	0.812872900920398	0.786982998578708	0.727943099852878	0.826267579583545
s22	0.713743398499176	0.823521430861271	0.965043644230282	0.965551421736529	0.834438656805399	0.824207176118638	0.81239541996043	0.843986779293171	0.961626827066157	1	0.847555825220103	0.835258597839653	0.682388168254833	0.836124164611947	0.823451011434316	0.775244265007581	0.718267938376524	0.756283343756207	0.462206565904141	0.797354182804798	0.826031177151194	0.751815371200525	0.821079898194116	0.847113882584645	0.783700950003765	0.728151823189122	0.8518408194427
s24	0.746778851126854	0.831517739462137	0.801008137299804	0.811745374609472	0.828768128037042	0.87605291803403	0.821464637912396	0.964334451829796	0.821215879865562	0.847555825220103	1	0.933078649266995	0.841819340694736	0.974581662914109	0.89864582775692	0.887393523977585	0.880069467573451	0.882438581074926	0.474006029668846	0.829328467663659	0.875940561067364	0.783377532085555	0.847441417535715	0.877461258850252	0.898248574610598	0.896503889389943	0.925011774515097
s11	0.733099920649946	0.814785760695599	0.792494511894814	0.808768564415331	0.837497750830454	0.895723466671623	0.801754461336727	0.899346491752799	0.812235724260069	0.835258597839653	0.933078649266995	1	0.871752342114342	0.923777441989715	0.90949626343625	0.943244839973508	0.911786975240953	0.952737377110044	0.549873454028939	0.864247442550648	0.872270130082314	0.830242055994965	0.900437231454885	0.877607115865778	0.969232244740272	0.92300295965713	0.98117220014049
